episode,season,title,file_name,link
E01,S01,Pilot,S01_E01_Pilot,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2936284
E02,S01,The Tagger,S01_E02_The_Tagger,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3179592
E03,S01,The Slump,S01_E03_The_Slump,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3211762
E04,S01,M.E. Time,S01_E04_ME_Time,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3220646
E05,S01,The Vulture,S01_E05_The_Vulture,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3113610
E06,S01,Halloween,S01_E06_Halloween,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3176582
E07,S01,48 Hours,S01_E07_48_Hours,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3184374
E08,S01,Old School,S01_E08_Old_School,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3215234
E09,S01,Sal's Pizza,S01_E09_Sals_Pizza,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3317628
E10,S01,Thanksgiving,S01_E10_Thanksgiving,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3267804
E11,S01,Christmas,S01_E11_Christmas,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3277264
E12,S01,Pontiac Bandit,S01_E12_Pontiac_Bandit,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3424950
E13,S01,The Bet,S01_E13_The_Bet,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3383490
E14,S01,The Ebony Falcon,S01_E14_The_Ebony_Falcon,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3454684
E15,S01,Operation: Broken Feather,S01_E15_Operation_Broken_Feather,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3468330
E16,S01,The Party,S01_E16_The_Party,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3485608
E17,S01,Full Boyle,S01_E17_Full_Boyle,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3502604
E18,S01,The Apartment,S01_E18_The_Apartment,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3531352
E19,S01,Tactical Village,S01_E19_Tactical_Village,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3546816
E20,S01,Fancy Brudgom,S01_E20_Fancy_Brudgom,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3565566
E21,S01,Unsolvable,S01_E21_Unsolvable,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3585294
E22,S01,Charges and Specs,S01_E22_Charges_and_Specs,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3594572
E01,S02,Undercover,S02_E01_Undercover,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3587386
E02,S02,Chocolate Milk,S02_E02_Chocolate_Milk,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3887822
