title,rating,season,ep_num
Pilot,7.9,1,1
The Tagger,7.7,1,2
The Slump,7.7,1,3
M.E. Time,7.8,1,4
The Vulture,8.1,1,5
Halloween,8.5,1,6
48 Hours,8.2,1,7
Old School,7.9,1,8
Sal's Pizza,7.8,1,9
Thanksgiving,8.3,1,10
Christmas,8.3,1,11
Pontiac Bandit,8.2,1,12
The Bet,8.8,1,13
The Ebony Falcon,7.8,1,14
Operation: Broken Feather,8.3,1,15
The Party,8.6,1,16
Full Boyle,8,1,17
The Apartment,7.8,1,18
Tactical Village,8.5,1,19
Fancy Brudgom,7.8,1,20
Unsolvable,8.3,1,21
Charges and Specs,9,1,22
Undercover,8.3,2,1
Chocolate Milk,7.9,2,2
The Jimmy Jab Games,8.3,2,3
Halloween II,8.7,2,4
The Mole,8.3,2,5
Jake and Sophia,8.3,2,6
Lockdown,7.9,2,7
USPIS,8.1,2,8
The Road Trip,8.3,2,9
The Pontiac Bandit Returns,8.3,2,10
Stakeout,8,2,11
Beach House,8.3,2,12
Payback,8.1,2,13
Defense Rests,7.9,2,14
Windbreaker City,8.3,2,15
The Wednesday Incident,8.1,2,16
Boyle-Linetti Wedding,8.3,2,17
Captain Peralta,8,2,18
Sabotage,8,2,19
AC/DC,7.9,2,20
Det. Dave Majors,8.1,2,21
The Chopper,8.6,2,22
Johnny and Dora,9.1,2,23
New Captain,8.3,3,1
The Funeral,7.8,3,2
Boyle's Hunch,8,3,3
The Oolong Slayer,8.6,3,4
Halloween III,8.9,3,5
Into the Woods,7.9,3,6
The Mattress,7.8,3,7
Ava,8.2,3,8
The Swedes,8,3,9
Yippie Kayak,8.8,3,10
Hostage Situation,7.8,3,11
9 Days,8,3,12
The Cruise,8.1,3,13
Karen Peralta,7.7,3,14
The 9-8,8.1,3,15
House Mouses,7.9,3,16
Adrian Pimento,7.9,3,17
Cheddar,7.9,3,18
Terry Kitties,7.9,3,19
Paranoia,8.3,3,20
Maximum Security,8.1,3,21
Bureau,8.7,3,22
Greg and Larry,9,3,23
"Coral Palms, Part 1",8.2,4,1
"Coral Palms, Part 2",8.2,4,2
"Coral Palms, Part 3",8.3,4,3
The Night Shift,7.7,4,4
Halloween IV,8.7,4,5
Monster in the Closet,8,4,6
Mr. Santiago,8.3,4,7
Skyfire Cycle,7.9,4,8
The Overmining,8.1,4,9
Captain Latvia,7.7,4,10
"The Fugitive, Part 1",8.5,4,11
"The Fugitive, Part 2",8.5,4,12
The Audit,7.9,4,13
Serve & Protect,8,4,14
The Last Ride,8.4,4,15
Moo Moo,8.8,4,16
Cop-Con,8.3,4,17
Chasing Amy,8.1,4,18
Your Honor,8,4,19
The Slaughterhouse,8.1,4,20
The Bank Job,8.5,4,21
Crime & Punishment,8.6,4,22
The Big House Pt. 1,8.5,5,1
The Big House Pt. 2,8.4,5,2
Kicks,8.1,5,3
HalloVeen,9.5,5,4
Bad Beat,8.1,5,5
The Venue,8,5,6
Two Turkeys,8.2,5,7
Return to Skyfire,7.7,5,8
99,8.9,5,9
Game Night,8.6,5,10
The Favor,8.2,5,11
Safe House,8.7,5,12
The Negotiation,8.4,5,13
The Box,9.4,5,14
The Puzzle Master,8,5,15
NutriBoom,8.1,5,16
DFW,8,5,17
Gray Star Mutual,8.1,5,18
Bachelor/ette Party,8.6,5,19
Show Me Going,8.5,5,20
White Whale,8.2,5,21
Jake & Amy,9.2,5,22
